student_id,age_at_enrollment,gender,marital_status,scholarship_holder,debtor,tuition_fees_up_to_date,curricular_units_sem1_enrolled,curricular_units_sem1_approved,curricular_units_sem2_enrolled,curricular_units_sem2_approved,gpa_sem1,gpa_sem2,family_income_inr,attendance_pct,failed_courses,dropout
STU00027,,Female,Single,0.0,0.0,1.0,0.0,0.0,2.0,2.0,14.51,9.74,173761.0,86.15,2.0,-3.010615768794815
STU00028,25.0,Male,Single,2.620173283796354,0.0,1.0,7.0,4.0,2.0,2.0,18.7,12.25,184602.0,96.47,5.0,1.0
STU00029,28.0,Male,Single,0.0,0.0,1.0,8.0,8.0,8.0,6.0,4.95,17.66,255714.0,,3.0,0.0
STU00030,20.0,Male,Divorced,1.0,1.0,1.0,2.0,0.0,2.0,2.0,10.59,11.67,273340.0,79.93,0.0,1.0
STU00031,32.0,Female,Single,1.0,0.0,1.0,8.0,8.0,2.0,1.0,14.04,31.88976635626947,108898.0,61.44,4.0,0.0
STU00032,18.0,Male,Single,1.0,1.0,1.0,1.0,1.0,5.0,2.0,10.11,12.35,63175.0,100.0,4.0,0.0
STU00033,28.0,Male,Single,0.0,0.0,1.0,9.0,8.0,0.0,0.0,9.79,13.74,932493.0,100.0,3.0,
STU00034,22.0,Male,Divorced,1.0,0.0,1.0,,1.0,7.0,4.0,8.57,14.37,508509.0,,1.0,0.0
STU00035,21.0,Female,Married,1.0,0.0,1.0,9.0,9.0,2.0,0.0,11.13,11.95,325265.0,67.7,1.0,0.0
STU00036,33.0,Male,Single,0.0,0.0,1.0,0.0,0.0,8.0,5.0,10.18,,74732.0,97.75,2.0,0.0
STU00037,25.0,Male,Married,0.0,0.0,1.0,0.0,,6.0,4.0,10.03,17.06,196715.0,100.0,0.0,
STU00038,32.0,Female,Single,0.0,0.0,1.0,4.0,2.0,3.0,3.0,12.6,8.55,669381.0,95.18,5.0,1.0
STU00039,23.0,Female,Single,0.0,1.0,1.0,9.0,8.0,2.0,0.0,13.93,10.17,257715.0,61.2,2.0,1.0
STU00040,34.0,Female,Single,1.0,1.0,1.0,1.0,1.0,6.0,6.0,11.19,12.82,105111.0,99.27,3.0,1.0
STU00041,28.0,Male,Single,0.0,0.0,0.0,5.0,3.0,1.0,0.0,9.6,-13.459276984669346,62909.0,100.0,1.0,1.0
STU00042,19.0,Male,Single,1.0,0.0,1.0,2.0,0.0,1.0,0.0,13.96,13.74,50000.0,74.4,2.0,0.0
STU00043,,Male,Single,1.0,0.0,1.0,4.0,2.0,0.0,0.0,-8.294344978592962,4.31,309384.0,96.05,,0.0
STU00044,30.0,Female,Single,1.0,,1.0,0.0,0.0,24.7255381920137,5.0,13.45,9.69,332190.0,95.83,1.0,
STU00045,23.0,Female,Single,0.0,0.0,1.0,4.0,1.0,7.0,,15.23,14.25,818104.0,74.26,5.0,0.0
STU00046,27.0,Female,Married,0.0,0.0,1.0,8.0,7.0,3.0,0.0,7.02,9.47,202469.0,100.0,0.0,-2.713053546963927
STU00047,28.0,Male,Divorced,0.0,0.0,1.0,5.0,3.0,8.0,6.0,12.57,,158565.0,76.36,5.0,1.0
STU00048,28.0,Male,Single,0.0,0.0,1.0,2.0,0.0,4.0,2.0,,-5.224611914829156,323572.0,,0.0,0.0
STU00049,,Male,Single,1.0,0.0,1.0,6.0,6.0,8.0,7.0,20.0,16.22,50000.0,68.98,0.0,0.0
STU00050,33.0,Male,Single,1.0,1.0,1.0,7.0,6.0,0.0,0.0,15.37,20.0,252447.0,89.58,0.0,0.0
STU00051,24.0,Male,Single,1.0,0.0,0.0,4.0,4.0,5.0,3.0,8.06,20.0,371780.0,71.64,5.0,1.0
STU00052,22.0,Male,Single,0.0,0.0,1.0,1.0,0.0,5.0,4.0,7.82,8.27,415745.0,23.76,,1.0
STU00053,30.0,Male,Single,0.0,0.0,0.0,7.0,6.0,7.0,5.0,,7.14,138161.0,17.71,2.0,1.0
STU00054,26.0,Male,Single,0.0,0.0,1.0,3.0,2.0,2.0,2.0,16.93,8.96,,77.86,0.0,0.0
STU00055,33.0,Female,Single,0.0,0.0,1.0,9.0,7.0,8.0,5.0,12.79,11.53,84177.0,81.97,4.0,1.0
STU00056,31.0,Female,Married,1.0,0.0,1.0,8.0,8.0,1.0,0.0,5.63,16.34,91805.0,,5.0,-3.2841632226202364
STU00057,28.0,Male,Married,0.0,0.0,1.0,6.0,3.0,1.0,0.0,5.82,7.89,564419.0,70.11,2.0,0.0
STU00058,22.0,Male,Married,1.0,0.0,1.0,1.0,1.0,6.0,6.0,17.81,9.53,64243.0,62.32,0.0,0.0
STU00059,20.0,Male,Single,1.0,,1.0,9.0,7.0,9.0,6.0,13.57,15.76,422148.0,100.0,2.0,0.0
STU00060,22.0,Female,Married,0.0,0.0,1.0,0.0,0.0,4.0,1.0,13.7,7.35,294520.0,94.14,1.0,0.0
STU00061,27.0,Female,Divorced,0.0,0.0,1.0,0.0,0.0,5.0,3.0,13.81,9.4,724464.0,85.1,0.0,0.0
STU00062,27.0,Male,Widowed,-2.1735347211610687,0.0,0.0,7.0,5.0,6.0,5.0,13.06,10.64,,76.13,4.0,0.0
STU00063,34.0,Female,Married,0.0,1.0,1.0,6.0,3.0,6.0,4.0,19.88,11.08,324878.0,45.35,1.0,
STU00064,25.0,Male,Married,0.0,0.0,,1.0,0.0,23.669388404604526,3.0,15.96,14.16,232369.0,100.0,1.0,0.0
STU00065,21.0,Male,Married,0.0,0.0,1.0,8.0,7.0,0.0,0.0,14.44,15.36,138094.0,50.93,0.0,0.0
STU00066,21.0,Male,Single,1.0,0.0,1.0,6.0,6.0,5.0,3.0,8.58,9.54,335268.0,90.63,4.0,0.0
STU00067,28.0,Female,Single,0.0,0.0,1.0,4.0,3.0,8.0,5.0,15.74,14.77,1172431.0,84.75,0.0,1.0
STU00068,19.0,Female,Single,0.0,0.0,1.0,4.0,4.0,1.0,0.0,7.48,13.34,455126.0,94.44,4.0,0.0
STU00069,33.0,Female,Married,0.0,0.0,0.0,2.0,2.0,6.0,6.0,4.92,11.38,223060.0,,1.0,1.0
STU00070,22.0,Male,Married,1.0,0.0,1.0,4.0,3.0,2.0,2.0,12.22,9.43,50000.0,100.0,4.0,0.0
STU00071,32.0,Male,Single,0.0,0.0,1.0,4.0,2.0,5.0,3.0,7.25,9.81,50000.0,55.73,4.0,0.0
STU00072,30.0,Male,Single,0.0,,1.0,0.0,0.0,1.0,1.0,16.09,16.07,50000.0,63.28,2.0,0.0
STU00073,33.0,Male,Single,0.0,0.0,1.0,0.0,0.0,9.0,6.0,16.94,7.6,382775.0,77.59,5.0,-2.2533250630878223
STU00074,23.0,Female,Married,3.6113069214081737,0.0,1.0,4.0,4.0,6.0,5.0,14.84,12.82,2129787.0023178565,77.14,0.0,
STU00075,32.0,Male,Married,1.0,1.0,1.0,8.0,5.0,3.0,1.0,10.86,,50000.0,53.29,2.0,0.0
STU00076,22.0,Female,Married,0.0,0.0,1.0,3.0,0.0,3.0,3.0,13.9,16.57,454157.0,100.0,1.0,0.0
STU00077,24.0,Male,Single,1.0,0.0,1.0,2.0,2.0,8.0,8.0,20.0,13.84,,87.58,,0.0
STU00078,33.0,Male,Married,0.0,0.0,1.0,1.0,0.0,1.0,0.0,15.9,42.20186517975014,122554.0,,3.0,0.0
STU00079,22.0,Female,Divorced,1.0,0.0,0.0,8.0,6.0,2.0,2.0,10.17,20.0,192785.0,60.48,1.0,0.0
STU00080,18.0,Male,Married,1.0,0.0,1.0,1.0,0.0,5.0,4.0,15.32,10.77,299337.0,67.41,4.0,0.0
STU00081,25.0,Male,Single,0.0,1.0,0.0,3.0,1.0,2.0,0.0,13.34,7.46,180167.0,49.9,2.0,1.0
STU00082,31.0,Female,Single,0.0,0.0,0.0,6.0,6.0,9.0,8.0,11.51,14.79,339887.0,83.28,0.0,1.0
STU00083,26.0,Female,Single,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.77,,50000.0,61.96,5.0,1.0
STU00084,32.0,Female,Married,1.0,2.124698650548082,1.0,3.0,2.0,9.0,6.0,9.07,5.69,50000.0,80.92,2.0,0.0
STU00085,32.0,Male,Divorced,0.0,0.0,1.0,2.0,1.0,4.0,1.0,,7.81,255259.0,77.89,,1.0
STU00086,25.0,Male,Married,0.0,1.0,1.0,8.0,5.0,2.0,0.0,20.0,6.65,68420.0,51.13,0.0,3.4925113765982685
STU00087,31.0,Female,Single,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16.42,18.22,310847.0,67.86,2.0,0.0
STU00088,,Male,Married,1.0,0.0,1.0,4.0,3.0,8.0,7.0,10.78,13.62,783031.0,100.0,5.0,0.0
STU00089,34.0,Male,Single,0.0,0.0,1.0,8.0,8.0,4.0,4.0,15.09,8.33,169538.0,91.66,3.0,1.0
STU00090,28.0,Female,Married,1.0,0.0,1.0,9.0,7.0,8.0,5.0,18.77,8.04,784622.0,62.51,4.0,0.0
STU00091,29.0,Male,Married,1.0,0.0,,1.0,0.0,5.0,,13.44,6.74,186740.0,74.46,1.0,0.0
STU00092,26.0,Male,Single,0.0,0.0,1.0,2.0,0.0,6.0,4.0,15.72,14.78,246291.0,44.52,4.0,1.0
STU00093,23.0,Male,Single,1.0,1.0,1.0,6.0,4.0,8.0,6.0,18.35,8.72,81843.0,71.18,2.0,1.0
STU00094,31.0,Male,Single,-2.538544766152068,0.0,1.0,,7.0,1.0,0.0,10.18,9.77,58064.0,70.16,4.0,0.0
STU00095,24.0,Female,Married,0.0,0.0,1.0,9.0,7.0,4.0,4.0,10.08,11.25,167610.0,99.27,4.0,1.0
STU00096,25.0,Male,Single,0.0,0.0,1.0,0.0,0.0,3.0,3.0,16.56,17.99,67027.0,83.03,1.0,0.0
STU00097,28.0,Male,Married,1.0,0.0,1.0,1.0,1.0,7.0,6.0,,10.55,211741.0,76.92,2.0,0.0
STU00098,23.0,Female,Single,0.0,0.0,1.0,3.0,2.0,9.0,7.0,12.69,8.99,575885.0,58.43,4.0,
STU00099,23.0,Female,Married,1.0,1.0,1.0,8.0,8.0,9.0,8.0,11.32,4.11,126296.0,85.73,0.0,0.0
STU00100,30.0,Male,Single,1.0,0.0,1.0,9.0,9.0,6.0,6.0,7.3,16.85,50000.0,100.0,3.0,0.0
STU00101,32.0,Male,Married,1.0,0.0,1.0,5.0,2.0,8.0,8.0,16.43,18.87,98589.0,94.29,0.0,0.0
STU00102,33.0,Male,Single,0.0,0.0,1.0,2.0,0.0,5.0,3.0,13.84,11.01,59061.0,96.2,4.0,1.0
STU00103,18.0,Male,Single,0.0,0.0,1.0,4.0,4.0,8.0,6.0,17.98,11.24,940676.0,53.94,0.0,
STU00104,25.0,Male,Single,1.0,,1.0,4.0,1.0,6.0,4.0,10.3,11.52,98716.0,98.07,0.0,0.0
STU00105,21.0,Male,Single,0.0,1.0,1.0,3.0,2.0,,6.0,13.35,9.41,134519.0,85.08,3.0,1.0
STU00106,34.0,Female,Single,1.0,1.0,1.0,9.0,8.0,8.0,7.0,11.61,9.59,118281.0,95.89,2.0,1.0
STU00107,32.0,Male,Single,0.0,1.0,1.0,3.0,-8.769140227868284,6.0,4.0,15.26,16.01,529240.0,46.47,-10.331418504626129,1.0
STU00108,28.0,Male,Married,0.0,1.0,1.0,6.0,4.0,3.0,3.0,9.47,10.19,,96.09,3.0,1.0
STU00109,24.0,Male,Single,1.0,1.0,1.0,8.0,5.0,8.0,5.0,19.17,,113262.0,76.98,4.0,-2.2874543738053337
STU00110,-11.566381672508754,Female,Widowed,1.0,1.0,0.0,7.0,5.0,4.0,2.0,11.27,10.58,545202.0,65.78,4.0,1.0
STU00111,33.0,Female,Single,1.0,1.0,1.0,7.0,5.0,9.0,7.0,10.71,15.58,129536.0,64.19,0.0,1.0
STU00112,30.0,Female,Single,0.0,0.0,1.0,5.0,3.0,2.0,0.0,6.18,15.36,255256.0,67.6,5.0,1.0
STU00113,25.0,Male,Single,0.0,0.0,1.0,2.0,0.0,0.0,0.0,15.83,11.79,453513.0,98.58,3.0,0.0
STU00114,29.0,Female,Married,0.0,-1.4651582433010277,1.0,0.0,0.0,0.0,0.0,10.59,12.97,324876.0,67.31,4.0,
STU00115,19.0,Male,Divorced,1.0,0.0,1.0,8.0,8.0,1.0,0.0,12.45,15.94,65749.0,,5.0,0.0
STU00116,18.0,Male,Single,1.0,0.0,1.0,0.0,0.0,3.0,0.0,9.83,9.73,87934.0,197.8644656597078,1.0,0.0
STU00117,18.0,Male,Single,0.0,0.0,1.0,,5.0,7.0,7.0,5.3,8.69,71140.0,54.31,2.0,0.0
STU00118,17.0,Female,Single,,0.0,1.0,1.0,1.0,5.0,5.0,9.79,8.68,50000.0,33.11,3.0,0.0
STU00119,28.0,Female,Married,1.0,0.0,1.0,4.0,2.0,1.0,0.0,8.55,9.37,468901.0,52.1,1.0,0.0
STU00120,25.0,Male,Single,1.0,0.0,1.0,9.0,20.045062138329694,2.0,0.0,10.41,3.43,102163.0,74.41,5.0,0.0
STU00121,29.0,Male,Married,0.0,0.0,1.0,0.0,0.0,3.0,1.0,7.53,11.14,271375.0,63.09,-5.855054701605913,1.0
STU00122,18.0,Female,Single,1.0,1.0,1.0,9.0,7.0,1.0,1.0,12.96,10.13,510407.0,65.99,4.0,1.0
STU00123,24.0,Male,Single,1.0,1.0,1.0,7.0,4.0,-16.250789481999597,5.0,8.93,16.93,420097.0,65.13,1.0,1.0
STU00124,22.0,Female,Single,1.0,0.0,0.0,7.0,6.0,5.0,2.0,7.98,19.84,50000.0,76.71,5.0,1.0
STU00125,24.0,Male,Single,0.0,0.0,0.0,0.0,0.0,9.0,8.0,,5.07,103015.0,56.15,3.0,1.0
STU00126,20.0,Male,Single,0.0,0.0,1.0,3.0,1.0,1.0,0.0,10.56,14.8,198209.0,52.84,3.0,0.0
STU00127,27.0,Male,Single,0.0,0.0,1.0,6.0,3.0,1.0,0.0,12.9,17.15,400552.0,86.85,1.0,0.0
STU00128,30.0,Male,Single,0.0,0.0,0.0,3.0,3.0,8.0,6.0,9.53,14.82,50000.0,83.52,0.0,1.0
STU00129,32.0,Female,Married,0.0,0.0,1.0,0.0,0.0,9.0,8.0,16.47,1.76,539414.0,99.33,5.0,0.0
STU00130,20.0,Female,Single,1.0,0.0,0.0,3.0,0.0,3.0,0.0,12.01,9.19,471798.0,94.27,3.0,0.0
STU00131,27.0,Male,Widowed,1.0,1.0,1.0,6.0,3.0,7.0,6.0,13.54,18.07,166173.0,62.22,1.0,1.0
STU00132,21.0,Male,Married,1.0,0.0,1.0,6.0,4.0,3.0,3.0,18.67,13.23,99371.0,65.8,1.0,0.0
STU00133,21.0,Male,Single,0.0,0.0,1.0,6.0,5.0,21.898717306774596,5.0,8.0,2.24,261136.0,30.1,5.0,0.0
STU00134,20.0,Female,Married,0.0,0.0,1.0,5.0,2.0,9.0,9.0,9.82,13.05,215442.0,65.16,,0.0
STU00135,30.0,Female,Single,0.0,1.0,,2.0,2.0,7.0,7.0,8.59,15.41,315183.0,86.64,5.0,1.0
STU00136,27.0,Male,Single,1.0,0.0,1.0,9.0,6.0,5.0,5.0,15.02,10.78,60697.0,94.81,5.0,0.0
STU00137,30.0,Female,Married,,1.0,,9.0,6.0,1.0,0.0,8.62,19.41,50000.0,80.92,0.0,1.0
STU00138,28.0,Female,Single,1.0,0.0,1.0,7.0,5.0,-11.93191708878576,3.0,11.17,6.26,565823.0,96.08,5.0,0.0
STU00139,31.0,Female,Married,1.0,0.0,1.0,2.0,2.0,0.0,0.0,14.09,11.83,588157.0,81.74,3.0,0.0
STU00140,21.0,Male,Married,1.0,0.0,1.0,8.0,7.0,8.0,6.0,4.75,10.27,1948228.3787178078,100.0,1.0,0.0
STU00141,27.0,Male,Married,1.0,0.0,1.0,0.0,0.0,3.0,1.0,12.13,14.43,58655.0,74.33,1.0,0.0
STU00142,22.0,Male,Single,0.0,0.0,1.0,7.0,7.0,1.0,0.0,10.42,15.54,198536.0,85.41,5.0,0.0
STU00143,33.0,Female,Single,1.0,1.0,1.0,1.0,1.0,4.0,4.0,16.65,10.77,50000.0,65.18,4.0,1.0
STU00144,19.0,Male,Married,0.0,0.0,1.0,,9.0,7.0,4.0,10.94,12.37,168224.0,96.13,2.0,1.0
STU00145,20.0,Male,Widowed,0.0,0.0,1.0,9.0,7.0,1.0,0.0,11.64,10.54,69124.0,69.18,2.0,0.0
STU00146,23.0,Female,Married,0.0,-1.943368984822348,1.0,5.0,5.0,0.0,0.0,9.16,13.11,556329.0,81.58,2.0,0.0
STU00147,34.0,Female,Single,0.0,0.0,1.0,9.0,7.0,9.0,7.0,7.45,15.14,56244.0,56.83,3.0,0.0
STU00148,22.0,Male,Married,1.0,0.0,1.0,,6.0,9.0,8.0,12.79,17.25,1278468.0,37.86,1.0,0.0
STU00149,34.0,Male,Married,1.0,2.7675282245708255,1.0,2.0,1.0,6.0,6.0,16.57,14.64,135914.0,79.46,5.0,0.0
STU00150,21.0,Female,Divorced,0.0,,1.0,4.0,2.0,0.0,0.0,14.16,,496859.0,94.56,5.0,0.0
STU00151,26.0,Female,Divorced,0.0,0.0,1.0,9.0,9.0,3.0,0.0,4.5,14.51,50000.0,-13.47346004513956,2.0,0.0
STU00152,33.0,Female,Married,1.0,0.0,0.0,0.0,0.0,9.0,7.0,2.71,14.84,576406.0,56.04,0.0,0.0
STU00153,18.0,Male,Single,0.0,0.0,,1.0,0.0,6.0,20.755704687970287,15.97,14.67,157217.0,60.58,4.0,1.0
STU00154,33.0,Male,Married,0.0,0.0,1.0,7.0,5.0,0.0,0.0,11.39,12.95,557453.0,77.73,0.0,0.0
STU00155,66.04558586317268,Female,Single,0.0,0.0,1.0,3.0,0.0,3.0,3.0,18.12,9.49,281741.0,83.15,0.0,0.0
STU00156,19.0,Female,Single,0.0,1.0,1.0,2.0,2.0,0.0,0.0,8.49,0.01,277312.0,100.0,,1.0
STU00157,21.0,Female,Single,1.0,0.0,1.0,2.0,1.0,9.0,6.0,8.96,12.14,50000.0,83.33,4.0,0.0
STU00158,21.0,Male,Married,0.0,0.0,1.0,5.0,4.0,8.0,7.0,16.93,20.0,-1209074.50136194,87.29,3.0,0.0
STU00159,26.0,Male,Married,1.0,0.0,0.0,0.0,0.0,4.0,3.0,18.22,16.05,,84.28,3.0,1.0
STU00160,32.0,Female,Single,1.0,0.0,1.0,8.0,7.0,-9.028789616811274,4.0,10.13,14.21,57929.0,50.38,1.0,0.0
STU00161,32.0,Female,Single,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.02,7.3,723700.0,70.18,5.0,1.0
STU00162,33.0,Female,Single,0.0,0.0,0.0,7.0,5.0,5.0,3.0,0.0,12.61,478872.0,92.47,4.0,1.0
STU00163,24.0,Male,Married,0.0,1.0,1.0,5.0,2.0,0.0,0.0,12.62,12.68,159798.0,56.61,13.308608134567589,1.0
STU00164,19.0,Male,Widowed,0.0,0.0,1.0,8.0,8.0,9.0,9.0,8.08,3.15,110468.0,90.81,1.0,0.0
STU00165,29.0,Male,Single,0.0,1.0,1.0,1.0,1.0,2.0,2.0,14.85,15.59,60119.0,90.08,3.0,1.0
STU00166,20.0,Female,Widowed,1.0,0.0,1.0,8.0,6.0,,8.0,13.82,,50000.0,73.8,5.0,0.0
STU00167,20.0,Female,Single,0.0,0.0,0.0,2.0,-12.044523793475767,3.0,2.0,11.55,14.53,1723974.0,54.79,0.0,1.0
STU00168,22.0,Female,Single,1.0,0.0,1.0,7.0,6.0,4.0,4.0,13.54,14.9,449662.0,75.58,4.0,0.0
STU00169,17.0,Male,Married,0.0,0.0,1.0,4.0,2.0,2.0,2.0,9.48,10.15,437582.0,79.71,2.0,0.0
STU00170,33.0,Female,Single,1.0,1.0,1.0,6.0,4.0,4.0,1.0,9.49,9.97,151109.0,100.0,4.0,1.0
STU00171,32.0,Male,Single,0.0,1.0,0.0,5.0,2.0,2.0,0.0,9.32,7.31,105767.0,76.29,,1.0
STU00172,27.0,Male,Single,1.0,0.0,-1.8138225468124594,,2.0,4.0,1.0,12.35,16.45,,,4.0,0.0
STU00173,31.0,Female,Single,0.0,1.0,1.0,26.47494148744352,4.0,8.0,6.0,10.22,12.63,520346.0,48.5,4.0,1.0
STU00174,22.0,Male,Married,0.0,0.0,1.0,9.0,6.0,26.481791536252828,6.0,7.99,15.04,417858.0,49.65,4.0,0.0
STU00175,20.0,Female,Single,,1.0,0.0,4.0,2.0,8.0,5.0,16.4,14.03,800063.0,16.19,2.0,1.0
STU00176,29.0,Male,Divorced,0.0,0.0,1.0,6.0,5.0,,1.0,16.35,4.75,581905.0,78.54,4.0,0.0
STU00177,18.0,Male,Widowed,0.0,0.0,,5.0,3.0,7.0,4.0,6.18,6.51,333021.0,86.62,5.0,0.0
STU00178,,Female,Married,0.0,,1.0,8.0,6.0,4.0,3.0,14.68,14.61,202343.0,84.13,5.0,1.0
STU00179,24.0,Female,Married,0.0,1.0,1.0,-16.11300225830763,3.0,4.0,3.0,11.95,12.13,433068.0,89.4,0.0,3.611892760756527
STU00180,34.0,Male,Single,1.0,1.0,1.0,4.0,4.0,6.0,5.0,18.92,9.7,812944.0,70.09,1.0,0.0
STU00181,33.0,Female,Married,0.0,0.0,1.0,0.0,0.0,5.0,2.0,12.13,,50000.0,57.06,1.0,1.0
STU00182,32.0,Male,Married,0.0,,1.0,9.0,6.0,8.0,6.0,17.14,9.51,116840.0,45.01,2.0,0.0
STU00183,25.0,Female,Single,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.93,14.4,1596279.0,88.07,5.0,
STU00184,25.0,Male,Single,1.0,0.0,0.0,,6.0,2.0,1.0,14.73,14.95,718709.0,100.0,4.0,1.0
STU00185,30.0,Male,Single,1.0,0.0,-0.8188486023541339,8.0,5.0,19.1487509177687,2.0,14.36,6.42,230695.0,71.19,2.0,0.0
STU00186,19.0,Male,Single,0.0,0.0,1.0,6.0,3.0,1.0,,12.72,,162299.0,83.12,2.0,0.0
STU00187,30.0,Male,Married,0.0,1.0,0.0,9.0,7.0,1.0,0.0,11.46,14.67,280158.0,100.0,2.0,1.0
STU00188,30.0,Male,Single,1.0,0.0,0.0,0.0,0.0,8.0,8.0,5.99,7.16,79594.0,91.78,3.0,1.0
STU00189,29.0,Male,Single,1.0,0.0,1.0,0.0,0.0,3.0,2.0,-17.25003607209365,15.38,52011.0,82.1,2.0,0.0
STU00190,22.0,Male,Single,0.0,0.0,1.0,5.0,2.0,9.0,9.0,20.0,10.3,393052.0,72.54,,1.0
STU00191,26.0,Female,Divorced,,0.0,0.0,6.0,4.0,2.0,0.0,12.6,13.58,50000.0,65.26,5.0,1.0
STU00192,26.0,Male,Married,0.0,0.0,1.0,6.0,5.0,9.0,6.0,6.81,15.99,344460.0,84.97,0.0,0.0
STU00193,23.0,Male,Married,0.0,1.0,1.0,6.0,6.0,3.0,2.0,9.42,14.07,76571.0,96.25,0.0,1.0
STU00194,-13.343040385494042,Male,Married,0.0,1.0,1.0,4.0,3.0,9.0,6.0,15.03,5.58,1026161.0,89.62,0.0,1.0
STU00195,18.0,Female,Married,0.0,0.0,1.0,,3.0,7.0,5.0,10.28,10.77,,,3.0,0.0
STU00196,23.0,Female,Single,0.0,0.0,1.0,5.0,3.0,7.0,4.0,15.56,4.72,98221.0,93.96,0.0,0.0
STU00197,31.0,Female,Single,0.0,1.0,1.0,1.0,0.0,3.0,1.0,18.93,-5.469152113342217,1620181.0,38.9,4.0,1.0
STU00198,25.0,Female,Single,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.89,9.77,50000.0,76.47,2.0,0.0
STU00199,28.0,Male,Divorced,0.0,0.0,1.0,4.0,4.0,7.0,5.0,10.55,5.59,129967.0,81.55,0.0,0.0
STU00200,19.0,Female,Married,0.0,0.0,1.0,2.0,2.0,3.0,2.0,4.53,17.11,161189.0,48.41,5.0,0.0
STU00201,28.0,Female,Married,1.0,0.0,1.0,4.0,2.0,6.0,4.0,12.63,16.34,50000.0,,2.0,0.0
